time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,timestamp
1680480000,28494.64,27290.26,28186.76,52416.66,1467725080.7,27810.08,direct,,2023-04-03
1680393600,28538.36,27880.95,28465.3,21016.25,592581072.46,28186.76,direct,,2023-04-02
1680307200,28810.95,28265.42,28477.29,19774.03,563299405.51,28465.3,direct,,2023-04-01
1680220800,28650.47,27541.23,28037.46,50916.39,1436740283.79,28477.29,direct,,2023-03-31
1680134400,29172.9,27731.64,28355.87,63033.78,1790022475.11,28037.46,direct,,2023-03-30
1680048000,28640.99,27261.75,27274.9,52216.18,1471076398.38,28355.87,direct,,2023-03-29
1679961600,27501.44,26660.19,27145.09,38686.66,1046551233.93,27274.9,direct,,2023-03-28
1679875200,28044.15,26565.75,27996.81,48705.37,1332454545.99,27145.09,direct,,2023-03-27
1679788800,28212.64,27447.43,27493.43,29291.76,815186275.78,27996.81,direct,,2023-03-26
1679702400,27810.74,27188.56,27491.73,26897.42,739835810.14,27493.43,direct,,2023-03-25
1679616000,28417.0,27047.96,28345.69,56653.76,1580517109.41,27491.73,direct,,2023-03-24
1679529600,28810.23,27188.53,27317.37,69232.03,1938232268.08,28345.69,direct,,2023-03-23
1679443200,28877.16,26681.65,28185.99,85640.26,2400261127.73,27317.37,direct,,2023-03-22
1679356800,28498.09,27411.61,27807.29,47709.66,1338965601.35,28185.99,direct,,2023-03-21
1679270400,28534.79,27229.43,28037.32,65776.48,1837053374.08,27807.29,direct,,2023-03-20
1679184000,28448.08,26902.0,26973.38,48141.92,1337303939.31,28037.32,direct,,2023-03-19
1679097600,27746.59,26658.45,27440.55,48417.21,1324019896.23,26973.38,direct,,2023-03-18
1679011200,27784.36,24945.47,25051.31,96356.43,2553142780.58,27440.55,direct,,2023-03-17
1678924800,25210.61,24221.04,24369.16,55375.79,1372147049.17,25051.31,direct,,2023-03-16
1678838400,25249.88,23950.43,24758.71,74030.83,1824299874.63,24369.16,direct,,2023-03-15
1678752000,26507.17,24084.6,24205.82,109089.41,2744102900.12,24758.71,direct,,2023-03-14
1678665600,24575.29,21897.79,22180.75,94186.56,2191332261.4,24205.82,direct,,2023-03-13
1678579200,22215.0,20448.6,20610.5,63908.6,1351176384.58,22180.75,direct,,2023-03-12
1678492800,20847.54,19898.92,20207.71,69272.41,1413061561.77,20610.5,direct,,2023-03-11
1678406400,20370.96,19597.37,20369.38,105301.85,2102930124.63,20207.71,direct,,2023-03-10
1678320000,21820.94,20120.77,21707.57,75190.47,1583970760.32,20369.38,direct,,2023-03-09
1678233600,22261.89,21643.55,22200.87,41189.49,906402439.01,21707.57,direct,,2023-03-08
1678147200,22540.33,21965.95,22410.34,38868.93,864523666.0,22200.87,direct,,2023-03-07
1678060800,22596.13,22304.69,22433.65,27062.82,606978083.02,22410.34,direct,,2023-03-06
1677974400,22632.51,22240.41,22351.08,20845.84,467793624.03,22433.65,direct,,2023-03-05
1677888000,22410.72,22179.49,22361.45,11820.44,263900606.97,22351.08,direct,,2023-03-04
1677801600,23476.96,22147.42,23467.22,59219.77,1327277875.2,22361.45,direct,,2023-03-03
1677715200,23788.72,23212.33,23641.2,34699.93,812811073.66,23467.22,direct,,2023-03-02
1677628800,23962.77,23037.24,23134.2,45286.75,1069269054.45,23641.2,direct,,2023-03-01
1677542400,23596.23,23039.39,23490.07,34848.42,814038669.29,23134.2,direct,,2023-02-28
1677456000,23876.65,23144.28,23557.39,44498.06,1044207235.8,23490.07,direct,,2023-02-27
1677369600,23673.78,23068.21,23167.45,27038.81,631467544.32,23557.39,direct,,2023-02-26
1677283200,23217.24,22809.89,23189.78,24711.45,568950226.09,23167.45,direct,,2023-02-25
1677196800,24125.33,22830.91,23941.1,68652.11,1610829236.2,23189.78,direct,,2023-02-24
1677110400,24595.08,23629.29,24186.92,67725.34,1630064365.85,23941.1,direct,,2023-02-23
1677024000,24471.79,23597.76,24450.5,71228.71,1707889533.14,24186.92,direct,,2023-02-22
1676937600,25216.35,24168.6,24838.09,68937.6,1699888067.11,24450.5,direct,,2023-02-21
1676851200,25098.8,23873.19,24287.53,54396.11,1341924666.63,24838.09,direct,,2023-02-20
1676764800,25175.28,24253.13,24638.27,43529.32,1073608902.53,24287.53,direct,,2023-02-19
1676678400,24854.76,24454.5,24578.28,22334.7,550069111.96,24638.27,direct,,2023-02-18
1676592000,25012.32,23368.98,23533.22,83842.0,2024871806.46,24578.28,direct,,2023-02-17
1676505600,25233.22,23522.57,24332.21,89399.75,2195432803.47,23533.22,direct,,2023-02-16
1676419200,24338.52,22059.91,22208.56,70450.63,1636571319.77,24332.21,direct,,2023-02-15
1676332800,22308.02,21587.95,21787.77,51049.58,1121665134.71,22208.56,direct,,2023-02-14
